path,area,ext,lines,audit_mechanism,status
.claude/launch.json,.claude,.json,12,config agent,audited (tsconfig exclude removed)
.coderabbit.yaml,(root),.yaml,10,config agent,audited (tsconfig exclude removed)
.editorconfig,(root),.editorconfig,13,config agent,audited (tsconfig exclude removed)
.gitattributes,(root),.gitattributes,8,config agent,audited (tsconfig exclude removed)
.githooks/post-commit,.githooks,(none),28,config agent,audited (tsconfig exclude removed)
.githooks/pre-commit,.githooks,(none),15,config agent,audited (tsconfig exclude removed)
.github/CODEOWNERS,.github,(none),19,CI agent,audited (master->main; gate steps added)
.github/ISSUE_TEMPLATE/bug_report.yml,.github/ISSUE_TEMPLATE,.yml,51,CI agent,audited (master->main; gate steps added)
.github/ISSUE_TEMPLATE/config.yml,.github/ISSUE_TEMPLATE,.yml,9,CI agent,audited (master->main; gate steps added)
.github/ISSUE_TEMPLATE/feature_request.yml,.github/ISSUE_TEMPLATE,.yml,25,CI agent,audited (master->main; gate steps added)
.github/PULL_REQUEST_TEMPLATE.md,.github,.md,32,CI agent,audited (master->main; gate steps added)
.github/copilot-instructions.md,.github,.md,47,CI agent,audited (master->main; gate steps added)
.github/workflows/auto-tag.yml,.github/workflows,.yml,59,CI agent,audited (master->main; gate steps added)
.github/workflows/ci.yml,.github/workflows,.yml,171,CI agent,audited (master->main; gate steps added)
.github/workflows/codeql.yml,.github/workflows,.yml,49,CI agent,audited (master->main; gate steps added)
.github/workflows/pages.yml,.github/workflows,.yml,72,CI agent,audited (master->main; gate steps added)
.github/workflows/release.yml,.github/workflows,.yml,131,CI agent,audited (master->main; gate steps added)
.gitignore,(root),.gitignore,28,config agent,audited (tsconfig exclude removed)
.memory/decisions.md,.memory,.md,41,doc-consistency agent + verify:facts (0 drift),audited (date-current)
.memory/instructions.md,.memory,.md,35,doc-consistency agent + verify:facts (0 drift),audited (date-current)
.memory/preferences.md,.memory,.md,29,doc-consistency agent + verify:facts (0 drift),audited (date-current)
.memory/quirks.md,.memory,.md,31,doc-consistency agent + verify:facts (0 drift),audited (date-current)
.memory/security.md,.memory,.md,36,doc-consistency agent + verify:facts (0 drift),audited (date-current)
.prettierignore,(root),.prettierignore,29,config agent,audited (tsconfig exclude removed)
.prettierrc,(root),.prettierrc,9,config agent,audited (tsconfig exclude removed)
.vscode/c_cpp_properties.json,.vscode,.json,15,config agent,audited (tsconfig exclude removed)
.vscode/launch.json,.vscode,.json,25,config agent,audited (tsconfig exclude removed)
.vscode/settings.json,.vscode,.json,57,config agent,audited (tsconfig exclude removed)
AGENTS.md,(root),.md,41,doc-consistency agent + verify:facts (0 drift),audited (date-current)
CHANGELOG.md,(root),.md,2187,doc-consistency agent + verify:facts (0 drift),audited (date-current)
CLAUDE.md,(root),.md,61,doc-consistency agent + verify:facts (0 drift),audited (date-current)
CODE_OF_CONDUCT.md,(root),.md,61,doc-consistency agent + verify:facts (0 drift),audited (date-current)
CONTRIBUTING.md,(root),.md,97,doc-consistency agent + verify:facts (0 drift),audited (date-current)
HANDOFF-2026-06-26.md,(root),.md,261,doc-consistency agent + verify:facts (0 drift),audited (date-current)
LICENSE,(root),(none),61,enumerated,accounted-for
NOTICE.md,(root),.md,76,doc-consistency agent + verify:facts (0 drift),audited (date-current)
README.md,(root),.md,668,doc-consistency agent + verify:facts (0 drift),audited (date-current)
ROADMAP.md,(root),.md,67,doc-consistency agent + verify:facts (0 drift),audited (date-current)
SECURITY.md,(root),.md,64,doc-consistency agent + verify:facts (0 drift),audited (date-current)
THIRD-PARTY-NOTICES.md,(root),.md,90,doc-consistency agent + verify:facts (0 drift),audited (date-current)
TSOTCHKE_BIOLOGICS_GROWTH_RECEIPT.txt,(root),.txt,4,enumerated,accounted-for
bench/algorithms.bench.ts,bench,.ts,39,tooling agent,audited-clean
bench/eshkol-ad.bench.ts,bench,.ts,68,tooling agent,audited-clean
bench/games.bench.ts,bench,.ts,47,tooling agent,audited-clean
bench/heap.bench.ts,bench,.ts,48,tooling agent,audited-clean
bench/index.ts,bench,.ts,22,tooling agent,audited-clean
bench/quantum-classical.bench.ts,bench,.ts,49,tooling agent,audited-clean
bench/quantum.bench.ts,bench,.ts,44,tooling agent,audited-clean
bench/reaction-diffusion.bench.ts,bench,.ts,80,tooling agent,audited-clean
bench/rng.bench.ts,bench,.ts,31,tooling agent,audited-clean
bench/scalar.bench.ts,bench,.ts,67,tooling agent,audited-clean
bench/scale.ts,bench,.ts,108,tooling agent,audited-clean
bench/spatial-hash.bench.ts,bench,.ts,51,tooling agent,audited-clean
bench/super-mind.bench.ts,bench,.ts,82,tooling agent,audited-clean
bun.lock,(root),.lock,408,config agent,audited (tsconfig exclude removed)
bunfig.toml,(root),.toml,10,config agent,audited (tsconfig exclude removed)
docs.html,(root),.html,1588,front-end agent + verify:facts,audited (dead links fixed)
docs/500-POINT-INSPECTION-2026-06-26.md,docs,.md,620,doc-consistency agent + verify:facts (0 drift),audited (date-current)
docs/AI-SUBSYSTEM-2026-06-26.md,docs,.md,215,doc-consistency agent + verify:facts (0 drift),audited (date-current)
docs/ARCHITECTURE.md,docs,.md,469,doc-consistency agent + verify:facts (0 drift),audited (date-current)
docs/AUDIT-LOG.md,docs,.md,246,doc-consistency agent + verify:facts (0 drift),audited (date-current)
docs/BENCHMARKS.md,docs,.md,276,doc-consistency agent + verify:facts (0 drift),audited (date-current)
docs/BOOK-2026-06-26.md,docs,.md,178,doc-consistency agent + verify:facts (0 drift),audited (date-current)
docs/COMPLEXITY-2026-06-26.md,docs,.md,108,doc-consistency agent + verify:facts (0 drift),audited (date-current)
docs/CONTROLS-2026-06-26.md,docs,.md,95,doc-consistency agent + verify:facts (0 drift),audited (date-current)
docs/COPILOT-PROVIDERS-2026-06-26.md,docs,.md,92,doc-consistency agent + verify:facts (0 drift),audited (date-current)
docs/DAILY_RUNS/2026-06-16-0030.md,docs/DAILY_RUNS,.md,76,doc-consistency agent + verify:facts (0 drift),audited (date-current)
docs/DESIGN-SYSTEM-2026-06-26.md,docs,.md,385,doc-consistency agent + verify:facts (0 drift),audited (date-current)
docs/EMERGENCE-BLOCKERS-2026-06-26.md,docs,.md,107,doc-consistency agent + verify:facts (0 drift),audited (date-current)
docs/ENTITY-SHEETS-2026-06-26.md,docs,.md,212,doc-consistency agent + verify:facts (0 drift),audited (date-current)
docs/ERD.md,docs,.md,519,doc-consistency agent + verify:facts (0 drift),audited (date-current)
docs/ERM.md,docs,.md,183,doc-consistency agent + verify:facts (0 drift),audited (date-current)
docs/ERP.md,docs,.md,196,doc-consistency agent + verify:facts (0 drift),audited (date-current)
docs/FILE-MAP.md,docs,.md,252,doc-consistency agent + verify:facts (0 drift),audited (date-current)
docs/GOAL5-RESEARCH-RECEIPTS-2026-06-26.md,docs,.md,110,doc-consistency agent + verify:facts (0 drift),audited (date-current)
docs/GOAL5-SWARM-HANDOFF-2026-06-19.md,docs,.md,175,doc-consistency agent + verify:facts (0 drift),audited (date-current)
docs/KANBAN.md,docs,.md,272,doc-consistency agent + verify:facts (0 drift),audited (date-current)
docs/MODULE-CONTRACTS.md,docs,.md,1679,doc-consistency agent + verify:facts (0 drift),audited (date-current)
docs/NEO-MIND-ARCHITECTURE-2026-06-26.md,docs,.md,124,doc-consistency agent + verify:facts (0 drift),audited (date-current)
docs/NHSI-PROGRESS-DASHBOARD.md,docs,.md,210,doc-consistency agent + verify:facts (0 drift),audited (date-current)
docs/NHSI-RESEARCH-PAPERS-LEDGER-2026-06-26.md,docs,.md,74,doc-consistency agent + verify:facts (0 drift),audited (date-current)
docs/NOVELTY-SCIENTIFIC-EDGE-AND-CONTRIBUTIONS-2026-06-26.md,docs,.md,127,doc-consistency agent + verify:facts (0 drift),audited (date-current)
docs/PATH-TO-14-14-CONSCIOUSNESS-INDICATORS.md,docs,.md,218,doc-consistency agent + verify:facts (0 drift),audited (date-current)
docs/PHILOSOPHY.md,docs,.md,89,doc-consistency agent + verify:facts (0 drift),audited (date-current)
docs/PRE-2016-AI-2026-06-26.md,docs,.md,866,doc-consistency agent + verify:facts (0 drift),audited (date-current)
docs/RUNBOOK-2026-06-26.md,docs,.md,106,doc-consistency agent + verify:facts (0 drift),audited (date-current)
docs/SCALING-ROADMAP-2026-06-26.md,docs,.md,99,doc-consistency agent + verify:facts (0 drift),audited (date-current)
docs/SUPER-CREATURE-RESEARCH.md,docs,.md,264,doc-consistency agent + verify:facts (0 drift),audited (date-current)
docs/TECHNICAL-SPECIFICATION.md,docs,.md,376,doc-consistency agent + verify:facts (0 drift),audited (date-current)
docs/TSOTCHKE-INTEGRATION-MAP.md,docs,.md,125,doc-consistency agent + verify:facts (0 drift),audited (date-current)
docs/VERIFICATION-ANALYTICAL-DATA.md,docs,.md,343,doc-consistency agent + verify:facts (0 drift),audited (date-current)
docs/WIREFRAMES-2026-06-26.md,docs,.md,194,doc-consistency agent + verify:facts (0 drift),audited (date-current)
docs/adr/0001-bun-runtime.md,docs/adr,.md,58,doc-consistency agent + verify:facts (0 drift),audited (date-current)
docs/adr/0002-threejs-rendering.md,docs/adr,.md,64,doc-consistency agent + verify:facts (0 drift),audited (date-current)
docs/adr/0003-htmx-tailwind-ui.md,docs/adr,.md,61,doc-consistency agent + verify:facts (0 drift),audited (date-current)
docs/adr/0004-deterministic-rng.md,docs/adr,.md,64,doc-consistency agent + verify:facts (0 drift),audited (date-current)
docs/adr/0005-math-stack-selection.md,docs/adr,.md,43,doc-consistency agent + verify:facts (0 drift),audited (date-current)
docs/adr/0006-asi-graphics-and-language-stack.md,docs/adr,.md,67,doc-consistency agent + verify:facts (0 drift),audited (date-current)
docs/adr/0007-native-cpp-engine-and-live-physics.md,docs/adr,.md,94,doc-consistency agent + verify:facts (0 drift),audited (date-current)
docs/adr/0008-super-creature-deep-mind.md,docs/adr,.md,55,doc-consistency agent + verify:facts (0 drift),audited (date-current)
docs/adr/0009-genome-reproduction.md,docs/adr,.md,95,doc-consistency agent + verify:facts (0 drift),audited (date-current)
docs/adr/0010-worker-offload-and-streamed-hybrid-world.md,docs/adr,.md,102,doc-consistency agent + verify:facts (0 drift),audited (date-current)
docs/reference/domain-key-libraries.csv,docs/reference,.csv,22,n/a,generated/data-artifact
docs/reference/math-libs-catalog-2026-06-26.md,docs/reference,.md,641,doc-consistency agent + verify:facts (0 drift),audited (date-current)
docs/reports/2026-06-17-STATE-OF-THE-ART-COMBINED.md,docs/reports,.md,787,doc-consistency agent + verify:facts (0 drift),audited (date-current)
docs/reports/2026-06-20-RESEARCH-BEDROCK.md,docs/reports,.md,234,doc-consistency agent + verify:facts (0 drift),audited (date-current)
docs/reports/2026-06-20-ROADMAP-TO-NHSI-AND-SENTIENCE.xml,docs/reports,.xml,231,steering/front-end agent,audited-clean
docs/reports/2026-06-20-SUPER-REPORT-PATH-TO-NHSI-AND-SENTIENCE.md,docs/reports,.md,717,doc-consistency agent + verify:facts (0 drift),audited (date-current)
docs/reports/2026-06-21-NHSI-HONESTY-AUDIT.md,docs/reports,.md,327,doc-consistency agent + verify:facts (0 drift),audited (date-current)
docs/reports/2026-06-21-NHSI-MANIFESTO-0THERNES-CORP.md,docs/reports,.md,540,doc-consistency agent + verify:facts (0 drift),audited (date-current)
docs/reports/2026-06-26-ALIFE-COMPARATIVE-AUDIT.md,docs/reports,.md,622,doc-consistency agent + verify:facts (0 drift),audited (date-current)
docs/reports/2026-06-26-CURRENT-TRUTH-BASELINE.md,docs/reports,.md,51,doc-consistency agent + verify:facts (0 drift),audited (date-current)
docs/reports/2026-06-26-alife-comparison-matrix.csv,docs/reports,.csv,28,n/a,generated/data-artifact
docs/reports/README.md,docs/reports,.md,48,doc-consistency agent + verify:facts (0 drift),audited (date-current)
docs/reports/assets/alife-axis-correlation.svg,docs/reports/assets,.svg,4,n/a,generated/data-artifact
docs/reports/assets/alife-axis-heatmap.svg,docs/reports/assets,.svg,4,n/a,generated/data-artifact
docs/reports/assets/alife-breadth-ranked.svg,docs/reports/assets,.svg,4,n/a,generated/data-artifact
docs/reports/assets/alife-breadth-vs-maturity.svg,docs/reports/assets,.svg,4,n/a,generated/data-artifact
docs/reports/assets/alife-codeground.json,docs/reports/assets,.json,145,config agent,audited (tsconfig exclude removed)
docs/reports/assets/alife-dendrogram.svg,docs/reports/assets,.svg,4,n/a,generated/data-artifact
docs/reports/assets/alife-distance-matrix.svg,docs/reports/assets,.svg,4,n/a,generated/data-artifact
docs/reports/assets/alife-entropy.svg,docs/reports/assets,.svg,4,n/a,generated/data-artifact
docs/reports/assets/alife-geometry.json,docs/reports/assets,.json,744,config agent,audited (tsconfig exclude removed)
docs/reports/assets/alife-nearest-neighbors.svg,docs/reports/assets,.svg,4,n/a,generated/data-artifact
docs/reports/assets/alife-pareto.svg,docs/reports/assets,.svg,4,n/a,generated/data-artifact
docs/reports/assets/alife-pca.svg,docs/reports/assets,.svg,4,n/a,generated/data-artifact
docs/reports/assets/alife-radar-profile.svg,docs/reports/assets,.svg,4,n/a,generated/data-artifact
docs/reports/assets/alife-stats.json,docs/reports/assets,.json,200,config agent,audited (tsconfig exclude removed)
docs/tsotchke-license-drafts/MIT-LICENSE.txt,docs/tsotchke-license-drafts,.txt,22,enumerated,accounted-for
docs/tsotchke-license-drafts/NOTICE-logo-lab.txt,docs/tsotchke-license-drafts,.txt,12,enumerated,accounted-for
docs/tsotchke-license-drafts/README.md,docs/tsotchke-license-drafts,.md,33,doc-consistency agent + verify:facts (0 drift),audited (date-current)
index.html,(root),.html,1224,front-end agent + verify:facts,audited (dead links fixed)
lab/quantum-wildbeyond.html,lab,.html,3863,front-end agent + verify:facts,audited (dead links fixed)
legacy/cosmogonic-quantum-mechalogodrom.html,legacy,.html,882,preserved-verbatim (CLAUDE.md law),out-of-scope
legacy/opus-4.7-origin/CLAUDE-CHAT-HISTORY-PERSONAL-ACCOUNT.md,legacy/opus-4.7-origin,.md,570,preserved-verbatim (CLAUDE.md law),out-of-scope
legacy/opus-4.7-origin/CLAUDE-OPUS-4.7-DEVELOPMENT-HISTORY.md,legacy/opus-4.7-origin,.md,459,preserved-verbatim (CLAUDE.md law),out-of-scope
legacy/opus-4.7-origin/Cosmogonic Claude History Personal.docx,legacy/opus-4.7-origin,.docx,64,preserved-verbatim (CLAUDE.md law),out-of-scope
legacy/opus-4.7-origin/GIT-HISTORY.txt,legacy/opus-4.7-origin,.txt,63,preserved-verbatim (CLAUDE.md law),out-of-scope
legacy/opus-4.7-origin/PROVENANCE.md,legacy/opus-4.7-origin,.md,38,preserved-verbatim (CLAUDE.md law),out-of-scope
legacy/opus-4.7-origin/README-original.md,legacy/opus-4.7-origin,.md,29,preserved-verbatim (CLAUDE.md law),out-of-scope
masters/GALAXOGONIC-WARHAMMER-POWER-MODE-DR-MANHATTAN.xml,masters,.xml,167,steering agent,audited-clean (well-formed)
masters/LEGENDARY-SUPER-SAIYAN-BROLY-MANIFESTO.xml,masters,.xml,141,steering agent,audited-clean (well-formed)
masters/ORACLE-ARCHITECT-OF-THE-DARKSIDE-STARKILLER.xml,masters,.xml,173,steering agent,audited-clean (well-formed)
native/CMakeLists.txt,native,.txt,131,C++ engine agent,audited-clean (no UB/leak)
native/README.md,native,.md,77,C++ engine agent,audited-clean (no UB/leak)
native/build.ps1,native,.ps1,28,C++ engine agent,audited-clean (no UB/leak)
native/src/gl_core.cpp,native/src,.cpp,18,C++ engine agent,audited-clean (no UB/leak)
native/src/gl_core.h,native/src,.h,138,C++ engine agent,audited-clean (no UB/leak)
native/src/main.cpp,native/src,.cpp,346,C++ engine agent,audited-clean (no UB/leak)
native/src/physics.h,native/src,.h,176,C++ engine agent,audited-clean (no UB/leak)
native/src/physics_jolt.h,native/src,.h,286,C++ engine agent,audited-clean (no UB/leak)
native/src/shaders.h,native/src,.h,338,C++ engine agent,audited-clean (no UB/leak)
package.json,(root),.json,61,config agent,audited (tsconfig exclude removed)
research_receipts-2026-06-26.md,(root),.md,138,doc-consistency agent + verify:facts (0 drift),audited (date-current)
scripts/alife-codeground-sensitivity.ts,scripts,.ts,214,scripts/tooling agents,audited (CI gap fixed)
scripts/alife-comparison-geometry.ts,scripts,.ts,772,scripts/tooling agents,audited (CI gap fixed)
scripts/alife-comparison-stats.ts,scripts,.ts,445,scripts/tooling agents,audited (CI gap fixed)
scripts/bmp2png.ts,scripts,.ts,93,scripts/tooling agents,audited (CI gap fixed)
scripts/build-pages.ts,scripts,.ts,70,scripts/tooling agents,audited (CI gap fixed)
scripts/build.ts,scripts,.ts,26,scripts/tooling agents,audited (CI gap fixed)
scripts/canonical-receipts.ts,scripts,.ts,26,scripts/tooling agents,audited (CI gap fixed)
scripts/codebase-metrics.ts,scripts,.ts,129,scripts/tooling agents,audited (CI gap fixed)
scripts/decode-capture.ts,scripts,.ts,23,scripts/tooling agents,audited (CI gap fixed)
scripts/gen-filemap.ts,scripts,.ts,53,scripts/tooling agents,audited (CI gap fixed)
scripts/harvest-tsotchke-corpus.ts,scripts,.ts,130,scripts/tooling agents,audited (CI gap fixed)
scripts/launch-oppengrok.ps1,scripts,.ps1,489,scripts/tooling agents,audited (CI gap fixed)
